,Balance/P&L,Credit/Debit,Is acc. Account,What is the parent/acc. Account,Accounting types,,,,"Tax types (Gewerbe, Umsatz, Koest)",,,Allowed tax id,Overwrites tax id definitions if defined,Tax1,Tax2,,,,Tax report pos.,,,
Account,Type (B/PL),C/D,S,Sammelkonto,IFRS,HB,SB,EUR,"G",U,K,Tax ID,PL Tax1,,,B Tax1,PL Tax2,B Tax2,Bemessungsgrundlage,Steuer,de,en
5,B,C,0,1400,1,1,1,1,"1",1,1,"M19,M07",,,,,,,81,66,Fällige Einzahlung auf Geschäftsanteile,Unpaid and due shares in co-operatives
10,,,,,,,,,,,,,,,,,,,,,"Konzessionen,Rechte, entgeltl. erworben","Purchased concessions, industrial and similar rights and assets, and licences in such rights and assets"
15,,,,,,,,,,,,,,,,,,,,,"Konzessionen, entgeltl. erworben",Concessions
20,,,,,,,,,,,,,,,,,,,,,"Gew. Schutzrechte, entgeltl. erworben",Industrial rights
25,,,,,,,,,,,,,,,,,,,,,"Ähnl. Rechte, Werte, entgeltl. erworben",Other rights and assets
27,,,,,,,,,,,,,,,,,,,,,"EDV-Software, entgeltl. erworben",Computer software
30,,,,,,,,,,,,,,,,,,,,,"Lizenz gew. Schutzrechte,entg.erworben",Licences in industrial
35,,,,,,,,,,,,,,,,,,,,,Geschäfts- oder Firmenwert,Goodwill
38,,,,,,,,,,,,,,,,,,,,,"Anzahlungen auf Geschäfts-, Firmenwert",Prepayments for goodwill
39,,,,,,,,,,,,,,,,,,,,,Anzahlungen immaterielle VermG,Prepayments for intangible fixed assets
40,,,,,,,,,,,,,,,,,,,,,Verschmelzungsmehrwert,Goodwill
43,,,,,,,,,,,,,,,,,,,,,Selbst geschaffene immaterielle VermG.,Internally generated intangible fixed assets
44,,,,,,,,,,,,,,,,,,,,,"EDV-Software, selbst geschaffen",Computer software
45,,,,,,,,,,,,,,,,,,,,,"Lizenzen, Franchise, selbst geschaffen",Licences and franchise
46,,,,,,,,,,,,,,,,,,,,,"Konzessionen, Schutzr.,selbst geschaffen",Concessions and industrial rights
47,,,,,,,,,,,,,,,,,,,,,"Rezepte, Verfahren, selbst geschaffen","Recipes and formulas, processes, prototypes"
48,,,,,,,,,,,,,,,,,,,,,Immat. Vermögensgegenst. in Entwicklung,Intangible fixed assets under development
50,,,,,,,,,,,,,,,,,,,,,"Grundstücke,grndst.Rechte und Bauten","Land, land rights and buildings, including buildings on third-party land"
59,,,,,,,,,,,,,,,,,,,,,Grundstücksanteil häusl. Arbeitszimmer,Share of land attributable to home office
60,,,,,,,,,,,,,,,,,,,,,Grundstücksgleiche Rechte ohne Bauten,Land rights without buildings
65,,,,,,,,,,,,,,,,,,,,,Unbebaute Grundstücke,Undeveloped land
70,,,,,,,,,,,,,,,,,,,,,Grundstücksgleiche Rechte,"Land rights (heritable building rights, long-term occupancy rights)"
75,,,,,,,,,,,,,,,,,,,,,Grundstücke mit Substanzverzehr,Impaired land
79,,,,,,,,,,,,,,,,,,,,,Anzahlungen auf Grund und Boden,Advance payments on land
80,,,,,,,,,,,,,,,,,,,,,Bauten auf eigenen Grundstücken,Buildings on own land and land rights
85,,,,,,,,,,,,,,,,,,,,,Grundstückswert bebauter Grundstücke,Property values of own developed land
90,,,,,,,,,,,,,,,,,,,,,Geschäftsbauten (eigene Grundstücke),Commercial buildings
100,,,,,,,,,,,,,,,,,,,,,Fabrikbauten (eigene Grundstücke),Industrial buildings
110,,,,,,,,,,,,,,,,,,,,,"Garagen (eigene Grst., Geschäftsbauten)",Garages
111,,,,,,,,,,,,,,,,,,,,,"Außenanlagen (eigene Grst., Geschäftsb.)",Outdoor facilities
112,,,,,,,,,,,,,,,,,,,,,"Hof-, Wegebefestig (eig Grst,Geschäftsb)",Paved courtyards and other paved surfaces
113,,,,,,,,,,,,,,,,,,,,,"Einrichtungen (eigene Grst.,Geschäftsb.)",Fixtures in commercial and industrial buildings
115,,,,,,,,,,,,,,,,,,,,,Andere Bauten (eigene Grundstücke),Other buildings
120,,,,,,,,,,,,,,,,,,,,,"Geschäfts-,Fabrik-u.and. Bauten im Bau","Commercial, industrial and other buildings under construction"
129,,,,,,,,,,,,,,,,,,,,,Anzahlg.Bauten auf eigenen Grundstücken,"Advance payments on commercial, industrial and other buildings on own properties"
140,,,,,,,,,,,,,,,,,,,,,Wohnbauten (eigene Grundstücke),Residential buildings
145,,,,,,,,,,,,,,,,,,,,,"Garagen (eigene Grundst., Wohnbauten)",Garages
146,,,,,,,,,,,,,,,,,,,,,"Außenanlagen (eigene Grst., Wohnbauten)",Outdoor facilities
147,,,,,,,,,,,,,,,,,,,,,"Hof-, Wegebefestig (eig Grst,Wohnbauten)",Paved courtyards and other paved surfaces
148,,,,,,,,,,,,,,,,,,,,,"Einrichtungen (eigene Grst., Wohnbauten)",Fixtures in residential buildings
149,,,,,,,,,,,,,,,,,,,,,Gebäudeteil häusliches Arbeitszimmer,Share of building attributable to home office
150,,,,,,,,,,,,,,,,,,,,,Wohnbauten im Bau eigenen Grundstücken,Residential buildings under construction
159,,,,,,,,,,,,,,,,,,,,,Anzahlg. Wohnbauten auf eig.Grundstücken,Advance payments on residential buildings on own properties
160,,,,,,,,,,,,,,,,,,,,,Bauten auf fremden Grundstücken,Buildings on third-party land
165,,,,,,,,,,,,,,,,,,,,,Geschäftsbauten (fremde Grundstücke),Commercial buildings
170,,,,,,,,,,,,,,,,,,,,,Fabrikbauten (fremde Grundstücke),Industrial buildings
175,,,,,,,,,,,,,,,,,,,,,"Garagen (fremde Grst., Geschäftsbauten)",Garages
